va,vb,job,backend,shots,qtype,qubits,version,time,q_winrate
8,11,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8857421875
13,0,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8369140625
13,1,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.9208984375
13,2,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8388671875
13,3,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.9111328125
13,4,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.86328125
13,5,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8310546875
13,6,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.869140625
13,7,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8740234375
13,8,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.90625
13,9,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.83984375
13,10,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8564453125
13,11,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8896484375
13,12,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.912109375
1,0,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8564453125
2,0,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.943359375
4,0,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.921875
3,0,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.908203125
2,1,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8486328125
5,1,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.87890625
6,1,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.833984375
7,2,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8818359375
8,2,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.9013671875
4,3,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.869140625
10,3,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8876953125
11,3,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8642578125
12,4,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8994140625
9,4,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8916015625
6,5,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.93359375
11,5,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8974609375
12,5,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.90234375
9,6,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8798828125
10,6,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.904296875
8,7,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8662109375
10,7,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8974609375
12,7,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8671875
9,8,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.87890625
11,8,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8828125
0,13,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8466796875
1,13,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.927734375
2,13,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.84765625
3,13,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.896484375
4,13,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8798828125
5,13,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8203125
6,13,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.884765625
7,13,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8974609375
8,13,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.86328125
9,13,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8603515625
10,13,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8564453125
11,13,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8955078125
12,13,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.896484375
0,0,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8271484375
1,1,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.830078125
2,2,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.83984375
3,3,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8466796875
4,4,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8369140625
5,5,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8203125
6,6,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8134765625
7,7,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8349609375
8,8,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8154296875
9,9,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8330078125
10,10,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8427734375
11,11,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8388671875
12,12,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.818359375
13,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.802734375
0,1,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.931640625
0,2,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.98046875
0,4,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9404296875
0,3,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.953125
1,2,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9345703125
1,5,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.921875
1,6,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.931640625
2,7,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.96484375
2,8,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.943359375
3,4,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.935546875
3,10,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.943359375
3,11,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9287109375
4,12,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9267578125
4,9,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9482421875
5,6,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9677734375
5,11,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9501953125
5,12,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9443359375
6,9,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9580078125
6,10,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.943359375
7,8,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9287109375
7,10,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.947265625
7,12,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9462890625
8,9,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9345703125
8,11,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.94140625
13,0,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9296875
13,1,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9775390625
13,2,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.92578125
13,3,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9443359375
13,4,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.943359375
13,5,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9482421875
13,6,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9228515625
13,7,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9443359375
13,8,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9619140625
13,9,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.927734375
13,10,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.95703125
13,11,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.955078125
13,12,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9453125
1,0,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9404296875
2,0,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9619140625
4,0,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9609375
3,0,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9521484375
2,1,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9306640625
5,1,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9384765625
6,1,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9345703125
7,2,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9541015625
8,2,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.947265625
4,3,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9365234375
10,3,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9375
11,3,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9541015625
12,4,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.939453125
9,4,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9306640625
6,5,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9677734375
11,5,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9384765625
12,5,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9541015625
9,6,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.953125
10,6,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9580078125
8,7,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9248046875
10,7,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.939453125
12,7,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9423828125
9,8,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9375
11,8,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.94921875
0,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9248046875
1,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.95703125
2,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.923828125
3,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9423828125
4,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.93359375
5,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9443359375
6,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.94140625
7,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.951171875
8,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.94921875
9,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9375
10,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.939453125
11,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.935546875
12,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9423828125
0,0,cjsb5jkiifjafcoacbb0,ibmq_guadalupe,1024,Vertex,16.0,1.4.10,2023-09-06 13:54:20.982000-04:00,0.5205078125
1,1,cjsb5jkiifjafcoacbb0,ibmq_guadalupe,1024,Vertex,16.0,1.4.10,2023-09-06 13:54:20.982000-04:00,0.4755859375
2,2,cjsb5jkiifjafcoacbb0,ibmq_guadalupe,1024,Vertex,16.0,1.4.10,2023-09-06 13:54:20.982000-04:00,0.484375
3,3,cjsb5jkiifjafcoacbb0,ibmq_guadalupe,1024,Vertex,16.0,1.4.10,2023-09-06 13:54:20.982000-04:00,0.5224609375
4,4,cjsb5jkiifjafcoacbb0,ibmq_guadalupe,1024,Vertex,16.0,1.4.10,2023-09-06 13:54:20.982000-04:00,0.5478515625
